
海南移动,#genre#
CGTN 4MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010095/1.m3u8
CGTN 1.5MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010137/1.m3u8

江苏移动,#genre#
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 2MHD,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/6/224/3221225917/index.m3u8
CGTN纪录 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/6/224/3221227574/index.m3u8

黑龙江移动,#genre#
CGTN 1.5MHD,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225604/index.m3u8
CGTN 1.5MHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8

其他,#genre#
CGTN 2MHD,http://223.110.241.206:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS
NHK World Japan,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
RT NEWS,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8
RT Doc.,https://rt-rtd.rttv.com/dvr/rtdoc/playlist.m3u8
Macau Info,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
Taiwan Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
TED Conference,https://tedconferences-ted-1-us.xiaomi.wurl.tv/playlist.m3u8
Ted Talks,https://tedconferences-ted-1-eu.xiaomi.wurl.tv/playlist.m3u8


