HN,#genre#
CGTN 4MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010095/1.m3u8
CGTN 1.5MHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010137/1.m3u8

JS,#genre#
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/ott.mobaibox.com/PLTV/6/224/3221228095/index.m3u8
CGTN 2MHD,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/6/224/3221225917/index.m3u8
CGTN纪录 4MHD,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/6/224/3221227574/index.m3u8

其他,#genre#
CGTN 2MHD,http://223.110.241.206:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS
NHK World Japan,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
RT NEWS,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8
RT Doc.,https://rt-rtd.rttv.com/dvr/rtdoc/playlist.m3u8
Macau Info,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
Taiwan Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
TED Conference,https://tedconferences-ted-1-us.xiaomi.wurl.tv/playlist.m3u8
Ted Talks,https://tedconferences-ted-1-eu.xiaomi.wurl.tv/playlist.m3u8


HN-yishiteng-202411,#genre#

CCTV1_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010001/1.m3u8
CCTV1_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8
CCTV1_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8
CCTV2_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010002/1.m3u8
CCTV2_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
CCTV3_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
CCTV4_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010003/1.m3u8
CCTV4_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV5_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV5_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8
CCTV5+_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010053/1.m3u8
CCTV5+_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8
CCTV6_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV7_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010051/1.m3u8
CCTV7_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
CCTV8_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
CCTV9_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010059/1.m3u8
CCTV9_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8
CCTV9_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010217/1.m3u8
CCTV10_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010061/1.m3u8
CCTV10_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
CCTV11_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010004/1.m3u8
CCTV11_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV12_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010055/1.m3u8
CCTV12_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV13_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010006/1.m3u8
CCTV13_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV14_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010005/1.m3u8
CCTV14_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV15_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010056/1.m3u8
CCTV15_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV16_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010052/1.m3u8
CCTV16_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV17_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010058/1.m3u8
CCTV17_5.5M1080HEVC,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8
CGTN_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010054/1.m3u8
CGTN_4M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010095/1.m3u8
CGTN_1.5M576,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010137/1.m3u8
CGTN阿拉伯语_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010068/1.m3u8
CGTN俄语_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010062/1.m3u8
CGTN法语_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010066/1.m3u8
CGTN西班牙语_6M576,http://[2409:8087:5e00:24::1e]:6060/200000001891/460000089100010067/1.m3u8
NewTV爱情喜剧_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010000/1.m3u8
NewTV超级电视剧_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010065/1.m3u8
NewTV超级电影_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010064/1.m3u8
NewTV超级体育_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010063/1.m3u8
NewTV超级综艺_8M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010062/1.m3u8
NewTV潮妈辣婆_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010005/1.m3u8
NewTV东北热剧_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010021/1.m3u8
NewTV动作电影_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010003/1.m3u8
NewTV古装剧场_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010004/1.m3u8
NewTV欢乐剧场_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010025/1.m3u8
NewTV家庭剧场_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010074/1.m3u8
NewTV金牌综艺_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010086/1.m3u8
NewTV惊悚悬疑_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010077/1.m3u8
NewTV精品大剧_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010072/1.m3u8
NewTV精品记录_4M1080,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010076/1.m3u8
